,predict
0,n
1,y
2,uk
3,y
4,y
5,y
6,n
7,y
8,n
9,y
10,uk
11,py
12,pn
13,y
14,n
15,n
16,y
17,uk
18,y
19,py
20,n
21,n
22,y
23,uk
24,py
25,n
26,py
27,y
28,y
29,uk
30,pn
31,n
32,y
33,y
34,y
35,n
36,y
37,uk
38,py
39,n
40,n
41,y
42,n
43,n
44,n
45,n
46,pn
47,py
48,y
49,y
50,n
51,n
52,uk
53,py
54,y
55,y
56,n
57,y
58,uk
59,n
60,y
61,y
62,y
63,py
64,y
65,n
66,y
67,n
68,n
69,y
70,y
71,uk
72,y
73,y
74,y
75,y
76,y
77,y
78,n
79,n
80,y
81,n
82,n
83,py
84,y
85,y
86,uk
87,y
88,n
89,py
90,n
91,y
92,py
93,py
94,py
95,py
96,n
97,y
98,y
99,n
100,y
101,y
102,py
103,pn
104,uk
105,n
106,y
107,y
108,pn
109,py
110,n
111,n
112,n
113,y
114,y
115,n
116,uk
117,y
118,n
119,n
120,py
121,uk
122,y
123,y
124,y
125,y
126,n
127,y
128,y
129,py
130,n
131,y
132,uk
133,y
134,n
135,n
136,py
137,n
138,py
139,n
140,n
141,n
142,y
143,y
144,y
145,n
146,n
147,n
148,n
149,n
150,py
151,n
152,y
153,n
154,uk
155,y
156,uk
157,uk
158,pn
159,py
160,y
161,y
162,uk
163,y
164,y
165,uk
166,n
167,y
168,py
169,uk
170,pn
171,y
172,n
173,uk
174,n
175,y
176,y
177,n
178,n
179,y
180,n
181,py
182,y
183,y
184,y
185,y
186,y
187,uk
188,n
189,n
190,py
191,y
192,n
193,y
194,n
195,y
196,uk
197,uk
198,y
199,n
200,uk
201,y
202,pn
203,y
204,y
205,n
206,n
207,y
208,pn
209,py
210,n
211,uk
212,y
213,uk
214,uk
215,n
216,uk
217,y
218,py
219,py
220,n
221,y
222,y
223,py
224,y
225,py
226,py
227,y
228,uk
229,pn
230,y
231,pn
232,n
233,uk
234,y
235,y
236,n
237,py
238,n
239,y
240,uk
241,n
242,y
243,py
244,pn
245,y
246,y
247,uk
248,n
249,n
250,y
251,y
252,y
253,y
254,y
255,y
256,uk
257,py
258,n
259,n
260,y
261,uk
262,n
263,y
264,uk
265,y
266,pn
267,uk
268,y
269,py
270,uk
271,n
272,y
273,n
274,uk
275,pn
276,py
277,y
278,y
279,n
280,n
281,py
282,n
283,pn
284,y
285,n
286,y
287,n
288,n
289,n
290,pn
291,py
292,n
293,n
294,n
295,y
296,y
297,y
298,y
299,n
300,y
301,y
302,y
303,uk
304,n
305,y
306,y
307,y
308,n
309,y
310,pn
311,y
312,pn
313,uk
314,n
315,y
316,y
317,n
318,uk
319,y
320,n
321,n
322,y
323,y
324,pn
325,y
326,y
327,y
328,n
329,py
330,n
331,y
332,y
333,n
334,n
335,n
336,y
337,y
338,uk
339,y
340,n
341,n
342,n
343,uk
344,py
345,n
346,n
347,py
348,n
349,n
350,n
351,y
352,y
353,y
354,y
355,y
356,n
357,uk
358,n
359,y
360,uk
361,pn
362,pn
363,pn
364,y
365,uk
366,uk
367,n
368,y
369,y
370,uk
371,y
372,py
373,y
374,y
375,n
376,y
377,n
378,y
379,y
380,n
381,y
382,n
383,y
384,uk
385,uk
386,uk
387,py
388,py
389,py
390,y
391,n
392,n
393,uk
394,y
395,py
396,y
397,y
398,py
399,y
400,y
401,y
402,py
403,py
404,y
405,py
406,n
407,y
408,uk
409,y
410,n
411,py
412,y
413,y
414,py
415,pn
416,y
417,uk
418,n
419,y
420,n
421,py
422,uk
423,py
424,y
425,n
426,y
427,uk
428,n
429,n
430,y
431,y
432,y
433,n
434,y
435,uk
436,uk
437,y
438,py
439,n
440,y
441,n
442,n
443,y
444,y
445,y
446,n
447,y
448,n
449,y
450,uk
451,py
452,n
453,n
454,uk
455,y
456,y
457,y
458,y
459,n
460,py
461,n
462,n
463,py
464,n
465,y
466,y
467,y
468,n
469,n
470,y
471,py
472,y
473,n
474,y
475,n
476,y
477,pn
478,n
479,y
480,y
481,n
482,y
483,uk
484,py
485,uk
486,py
487,n
488,pn
489,y
490,n
491,y
492,py
493,py
494,n
495,y
496,y
497,y
498,uk
499,y
500,n
501,uk
502,y
503,uk
504,y
505,pn
506,n
507,uk
508,n
509,n
510,n
511,py
512,n
513,n
514,y
515,pn
516,n
517,y
518,pn
519,py
520,y
521,n
522,n
523,py
524,y
525,n
526,n
527,y
528,y
529,n
530,uk
531,n
532,py
533,pn
534,y
535,y
536,n
537,y
538,y
539,n
540,y
541,n
542,pn
543,n
544,uk
545,y
546,y
547,n
548,n
549,n
550,uk
551,y
552,uk
553,uk
554,y
555,y
556,y
557,py
558,py
559,n
560,y
561,pn
562,n
563,py
564,n
565,py
566,y
567,n
568,y
569,n
570,pn
571,py
572,py
573,y
574,pn
575,n
576,y
577,n
578,y
579,py
580,n
581,py
582,y
583,y
584,n
585,uk
586,y
587,pn
588,y
589,y
590,n
591,y
592,y
593,n
594,pn
595,uk
596,y
597,y
598,n
599,uk
